id,cinemaHall,row,number,vip
1,1,1,1,true
2,1,1,2,true
3,1,1,3,false
4,1,1,4,false
5,1,1,5,false
6,1,1,6,false
7,1,1,7,false
8,1,1,8,false
9,1,1,9,false
10,1,1,10,false
11,1,1,11,false
12,1,1,12,false
13,1,2,1,true
14,1,2,2,true
15,1,2,3,false
16,1,2,4,false
17,1,2,5,false
18,1,2,6,false
19,1,2,7,false
20,1,2,8,false
21,1,2,9,false
22,1,2,10,false
23,1,2,11,false
24,1,2,12,false
121,2,1,1,true
122,2,1,2,true
123,2,1,3,false
124,2,1,4,false
125,2,1,5,false
126,2,1,6,false
127,2,1,7,false
128,2,1,8,false
129,2,1,9,false
130,2,1,10,false
131,2,1,11,false
132,2,1,12,false
133,2,2,1,true
134,2,2,2,true
135,2,2,3,false
136,2,2,4,false
137,2,2,5,false
138,2,2,6,false
139,2,2,7,false
140,2,2,8,false
141,2,2,9,false
142,2,2,10,false
143,2,2,11,false
144,2,2,12,false
